"movies","genre","rating","stars","votes","runtime","gross"
"The Hitman's Bodyguard","
Action, Comedy, Crime            ",6.9,"
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
",205979,118,75.47
"Jurassic Park","
Action, Adventure, Sci-Fi            ",8.1,"
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",897444,127,402.45
"Don't Breathe","
Crime, Horror, Thriller            ",7.1,"
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
",237601,88,89.22
"The Lord of the Rings: The Fellowship of the Ring","
Action, Adventure, Drama            ",8.8,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
",1713028,178,315.54
"Escape Room","
Action, Adventure, Horror            ",6.4,"
    Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
",99351,99,57.01
"Jaws","
Adventure, Thriller            ",8,"
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
",558731,124,260
"The Departed","
Crime, Drama, Thriller            ",8.5,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
",1227522,151,132.38
"Gone Girl","
Drama, Mystery, Thriller            ",8.1,"
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
",895888,149,167.77
"Jumanji: Welcome to the Jungle","
Action, Adventure, Comedy            ",6.9,"
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
",337900,119,404.52
"American Psycho","
Comedy, Crime, Drama            ",7.6,"
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
",517014,101,15.07
"Kill Bill: Vol. 1","
Action, Crime, Drama            ",8.1,"
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
",1034554,111,70.1
"300","
Action, Drama            ",7.6,"
    Director:
Zack Snyder
| 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West
",751815,117,210.61
"It","
Horror            ",7.3,"
    Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
",480607,135,327.48
"Spider-Man: Far from Home","
Action, Adventure, Sci-Fi            ",7.5,"
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei
",363012,129,390.53
"The Hobbit: An Unexpected Journey","
Adventure, Fantasy            ",7.8,"
    Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
",774632,169,303
"Clueless","
Comedy, Romance            ",6.8,"
    Director:
Amy Heckerling
| 
    Stars:
Alicia Silverstone, 
Stacey Dash, 
Brittany Murphy, 
Paul Rudd
",194461,97,56.63
"Baywatch","
Action, Comedy, Crime            ",5.5,"
    Director:
Seth Gordon
| 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas
",170844,116,58.06
